age_months,n_infant_age_rows,p05,p25,p50,p75,p95
3,120,129.325,135.20000000000002,139.43333333333334,142.15416666666667,149.21833333333333
6,120,124.87249999999999,132.775,136.30833333333334,140.16666666666666,145.44166666666666
9,120,122.08999999999999,128.89166666666668,132.86666666666667,136.58333333333331,142.26666666666665
12,120,118.43166666666667,125.38333333333333,130.025,133.9375,138.71666666666667
18,120,110.53833333333334,119.22916666666666,122.91666666666666,127.51249999999999,134.415
24,120,103.09166666666667,112.525,116.38333333333334,121.375,126.37083333333334
